"","FLT3","GeneID","Gene_Expression","TCGA"
"1",32.0073,"FANCL",9.70216160099132,"Non-TNBC"
"2",0.7138,"FANCL",7.28480837216089,"Non-TNBC"
"3",33.3639,"FANCL",7.81480546160821,"Non-TNBC"
"4",239.7403,"FANCL",7.73414665613862,"Non-TNBC"
"5",525.6015,"FANCL",9.44986403645967,"Non-TNBC"
"6",82.4467,"FANCL",8.56968437304733,"Non-TNBC"
"7",264.4503,"FANCL",8.20392936901889,"Non-TNBC"
"8",25.4876,"FANCL",8.63013823244411,"Non-TNBC"
"9",144.4096,"FANCL",7.82922928070957,"Non-TNBC"
"10",14.9906,"FANCL",7.56677406401003,"Non-TNBC"
"11",675.5154,"FANCL",8.74853804856604,"Non-TNBC"
"12",9.408,"FANCL",8.21413209265449,"Non-TNBC"
"13",124.7355,"FANCL",7.9702692813163,"Non-TNBC"
"14",47.9553,"FANCL",8.55428953814886,"Non-TNBC"
"15",0.4451,"FANCL",8.21730391562412,"Non-TNBC"
"16",73.2224,"FANCL",8.13261179922441,"Non-TNBC"
"17",607.5697,"FANCL",8.25191456264803,"Non-TNBC"
"18",91.954,"FANCL",9.07200689056678,"Non-TNBC"
"19",1.9293,"FANCL",7.97281842488095,"Non-TNBC"
"20",0.7681,"FANCL",7.92297025902556,"Non-TNBC"
"21",2.9888,"FANCL",8.09685796764113,"Non-TNBC"
"22",16.0772,"FANCL",7.6683595632807,"Non-TNBC"
"23",3.8271,"FANCL",6.35869866730606,"Non-TNBC"
"24",15.949,"FANCL",9.54183771847256,"Non-TNBC"
"25",894.2005,"FANCL",7.28812781590126,"Non-TNBC"
"26",2.2528,"FANCL",6.36876834909033,"Non-TNBC"
"27",4.7455,"FANCL",7.46310499075968,"Non-TNBC"
"28",16.0197,"FANCL",7.93551809091031,"Non-TNBC"
"29",0,"FANCL",8.68521308293421,"Non-TNBC"
"30",54.1462,"FANCL",8.19873723434594,"Non-TNBC"
"31",67.4922,"FANCL",9.49687993535856,"Non-TNBC"
"32",29.32,"FANCL",8.23948301355765,"Non-TNBC"
"33",24.3694,"FANCL",7.57759046125267,"Non-TNBC"
"34",8.1673,"FANCL",9.20568989937835,"Non-TNBC"
"35",2.516,"FANCL",7.8993714253344,"Non-TNBC"
"36",1037.3202,"FANCL",7.22504158377012,"Non-TNBC"
"37",62.0338,"FANCL",7.14987919117425,"Non-TNBC"
"38",314.6096,"FANCL",7.32219677181897,"Non-TNBC"
"39",13.9647,"FANCL",7.83666644684298,"Non-TNBC"
"40",4.96,"FANCL",8.6270909765996,"Non-TNBC"
"41",86.7315,"FANCL",8.44838230682865,"Non-TNBC"
"42",16.9335,"FANCL",7.88399891215913,"Non-TNBC"
"43",118.3508,"FANCL",8.68457646840966,"Non-TNBC"
"44",147.2332,"FANCL",7.70455315890553,"Non-TNBC"
"45",57.1316,"FANCL",7.76589802639416,"Non-TNBC"
"46",120.2056,"FANCL",8.66641043134719,"Non-TNBC"
"47",6.7388,"FANCL",8.71790737285964,"Non-TNBC"
"48",46.617,"FANCL",8.39086412039869,"Non-TNBC"
"49",113.7315,"FANCL",8.29350705478396,"Non-TNBC"
"50",29.8507,"FANCL",7.67402626920328,"Non-TNBC"
"51",8.4059,"FANCL",8.94567061138474,"Non-TNBC"
"52",2.5452,"FANCL",7.54550587292887,"Non-TNBC"
"53",5.7615,"FANCL",7.82088226438296,"Non-TNBC"
"54",12.482,"FANCL",7.494094744688,"Non-TNBC"
"55",0,"FANCL",8.90114536006759,"Non-TNBC"
"56",96.5615,"FANCL",8.09286652793526,"Non-TNBC"
"57",82.164,"FANCL",8.30285913786181,"Non-TNBC"
"58",20.3081,"FANCL",7.7363166863262,"Non-TNBC"
"59",1.968,"FANCL",7.95552902408807,"Non-TNBC"
"60",232.121,"FANCL",8.50339684010291,"Non-TNBC"
"61",0.7236,"FANCL",8.14050618232997,"Non-TNBC"
"62",267.7978,"FANCL",7.30638346797977,"Non-TNBC"
"63",199.6945,"FANCL",8.68879965275189,"Non-TNBC"
"64",10.9935,"FANCL",7.62557808148692,"Non-TNBC"
"65",104.3688,"FANCL",8.88689273452422,"Non-TNBC"
"66",61.0181,"FANCL",8.67806591735224,"Non-TNBC"
"67",17.5906,"FANCL",8.00515573748235,"Non-TNBC"
"68",133.048,"FANCL",8.48707548420782,"Non-TNBC"
"69",510.9046,"FANCL",8.98209203634371,"Non-TNBC"
"70",18.0037,"FANCL",8.06568216384799,"Non-TNBC"
"71",0.5951,"FANCL",8.63871790887213,"Non-TNBC"
"72",6.8493,"FANCL",8.33683455990912,"Non-TNBC"
"73",25.4345,"FANCL",8.1312694763974,"Non-TNBC"
"74",0,"FANCL",8.37445484761527,"Non-TNBC"
"75",47.0367,"FANCL",8.47409325699988,"Non-TNBC"
"76",3.801,"FANCL",7.52377364034199,"Non-TNBC"
"77",49.8331,"FANCL",8.67202642407782,"Non-TNBC"
"78",204.3619,"FANCL",8.54180442733543,"Non-TNBC"
"79",2.9776,"FANCL",7.38951088559665,"Non-TNBC"
"80",1.6606,"FANCL",8.15157472976641,"Non-TNBC"
"81",326.066,"FANCL",8.59632842714255,"Non-TNBC"
"82",1008.769,"FANCL",8.6122577561116,"Non-TNBC"
"83",127.7802,"FANCL",7.63766530544656,"Non-TNBC"
"84",103.5109,"FANCL",8.23454778357669,"Non-TNBC"
"85",3.7783,"FANCL",8.17445186158921,"Non-TNBC"
"86",5.0879,"FANCL",9.05608870922943,"Non-TNBC"
"87",3.3467,"FANCL",6.886174549017,"Non-TNBC"
"88",30.7622,"FANCL",8.63756315443468,"Non-TNBC"
"89",0.4606,"FANCL",7.50105692365951,"Non-TNBC"
"90",1.2005,"FANCL",9.64378693875072,"Non-TNBC"
"91",14.8359,"FANCL",7.982190460045,"Non-TNBC"
"92",5.3552,"FANCL",8.50861246400363,"Non-TNBC"
"93",0.2927,"FANCL",8.00685284307233,"Non-TNBC"
"94",86.5645,"FANCL",9.16768734015532,"Non-TNBC"
"95",82.6795,"FANCL",8.52913066105973,"Non-TNBC"
"96",4.9555,"FANCL",8.6438233680892,"Non-TNBC"
"97",0.5869,"FANCL",8.17453175800326,"Non-TNBC"
"98",215.395,"FANCL",8.46726684377877,"Non-TNBC"
"99",286.1461,"FANCL",8.2341233338466,"Non-TNBC"
"100",2.1008,"FANCL",8.54206338116021,"Non-TNBC"
"101",3.0496,"FANCL",8.43523394898604,"Non-TNBC"
"102",1.6841,"FANCL",8.42626894857693,"Non-TNBC"
"103",27.1024,"FANCL",8.28678552542312,"Non-TNBC"
"104",223.796,"FANCL",8.43772544410883,"Non-TNBC"
"105",258.0423,"FANCL",8.16198641092184,"Non-TNBC"
"106",6.5421,"FANCL",8.73607005637667,"Non-TNBC"
"107",1.6641,"FANCL",9.40952353069144,"Non-TNBC"
"108",78.4115,"FANCL",8.62950634656788,"Non-TNBC"
"109",10.9489,"FANCL",8.27335083564976,"Non-TNBC"
"110",40.1409,"FANCL",9.1797675497137,"Non-TNBC"
"111",31.4914,"FANCL",7.75724398223587,"Non-TNBC"
"112",0,"FANCL",8.42049334994851,"Non-TNBC"
"113",13.1589,"FANCL",8.40537380769798,"Non-TNBC"
"114",25.1053,"FANCL",7.80347052234763,"Non-TNBC"
"115",1.8632,"FANCL",7.67783448898251,"Non-TNBC"
"116",91.0739,"FANCL",7.73966046455204,"Non-TNBC"
"117",70.4315,"FANCL",9.22248991266815,"Non-TNBC"
"118",92.0044,"FANCL",7.69105742172566,"Non-TNBC"
"119",81.8487,"FANCL",8.14976134318849,"Non-TNBC"
"120",5.1626,"FANCL",9.13690654665982,"Non-TNBC"
"121",451.3114,"FANCL",7.99765032686014,"Non-TNBC"
"122",270.5237,"FANCL",7.71207778635748,"Non-TNBC"
"123",14.9789,"FANCL",8.73933912816924,"Non-TNBC"
"124",1.0152,"FANCL",8.00320980443908,"Non-TNBC"
"125",224.8262,"FANCL",7.85896877862565,"Non-TNBC"
"126",64.6109,"FANCL",7.87590965902449,"Non-TNBC"
"127",613.2887,"FANCL",8.49462281491349,"Non-TNBC"
"128",32.111,"FANCL",9.13390690785707,"Non-TNBC"
"129",15.147,"FANCL",9.85861856274641,"Non-TNBC"
