,FLT3,FANCL,SYK,CEP76,ELF3,JAK2,CCNE1,TPX2,GSK3B
TCGA-AC-A7VC-01,0.6244,440.1341,432.6977,102.3989,38.7118,217.9098,440.8147,2109.1672,823.5617
TCGA-C8-A1HJ-01,20.6583,2145.8368,339.6359,198.5294,1032.563,267.8571,585.4342,6700.2801,2269.6078
TCGA-AN-A0AT-01,14.1251,710.2018,1326.6071,386.2785,6435.8605,244.1626,520.0346,4703.0845,2127.4142
TCGA-AN-A0XU-01,2.0675,641.3818,712.2674,232.5982,3631.9779,527.5672,277.3949,3963.8181,2195.7271
TCGA-AN-A0AR-01,0.7213,695.1907,785.1411,147.8676,2408.7999,331.4399,347.6693,3541.971,793.7968
TCGA-AN-A0G0-01,1.7586,295.1682,1022.9354,232.432,4847.0726,142.1558,163.8455,2620.063,1309.885
TCGA-E9-A5FL-01,4.522,582.3773,1166.0207,96.2532,11051.6796,159.5607,431.5245,1731.2661,1047.1576
TCGA-A8-A08R-01,24.1738,402.2124,934.8225,191.8605,5692.7785,492.6561,76.4994,3679.0086,2505.202
TCGA-AN-A04D-01,1.1517,905.2088,1583.6453,214.5119,3149.7265,163.5474,665.4189,4028.2177,2107.9758
TCGA-HN-A2NL-01,25.2065,1242.2175,977.9443,513.3271,2921.2297,130.4607,619.9438,5620.029,550.115
TCGA-BH-A0E0-01,18.8909,579.1651,814.7471,324.802,2397.9281,223.0347,1104.2048,5412.5533,2049.3601
TCGA-BH-A18G-01,0.0,350.45,960.625,118.75,9400.0,181.25,59.375,1848.75,1586.875
TCGA-BH-A0RX-01,32.971,321.0799,973.3604,146.6969,4582.0093,615.4581,351.2125,2869.4302,1127.2249
TCGA-B6-A400-01,16.9814,653.5588,980.2372,126.1894,2937.1981,299.8097,1114.0389,3101.1565,1243.449
TCGA-AN-A0AL-01,7.649,193.0274,979.066,167.8744,11192.4316,274.5572,161.8357,2578.5024,1604.6699
TCGA-EW-A1P8-01,4.3011,500.2545,1430.8244,140.1434,7056.6308,455.914,481.362,2453.7634,1453.0466
TCGA-A2-A0T2-01,4.0125,288.4084,221.1324,201.07,7736.0678,414.6233,402.14,1670.0847,2148.016
TCGA-A7-A6VY-01,10.7229,596.7209,1370.8059,219.3013,3907.2985,537.8762,508.1287,3319.2667,1268.0733
