,FLT3,FANCL,SYK,CEP76,ELF3,JAK2,CCNE1,TPX2,GSK3B
TCGA-PL-A8LV-01,32.0073,831.9936,2022.8624,72.7023,7696.845,315.9579,683.1276,3462.2771,1616.8267
TCGA-A8-A09Z-01,0.7138,154.9358,294.0757,68.1656,8071.7345,594.2184,8.5653,734.1185,1146.3241
TCGA-A8-A09G-01,33.3639,224.1598,514.5393,163.7588,4576.9819,648.9134,114.172,1504.1322,3056.6269
TCGA-A8-A083-01,239.7403,211.9169,471.4286,160.0,3172.4675,342.3377,17.1429,380.0,1798.961
TCGA-C8-A12K-01,525.6015,698.3467,1883.7138,347.008,3573.103,1070.327,388.649,6118.137,1474.3985
TCGA-C8-A133-01,82.4467,378.9549,738.0521,174.593,2596.4092,169.7432,36.1531,321.4098,1316.0607
TCGA-C8-A12T-01,264.4503,293.8688,778.684,180.8929,2849.3967,215.5603,54.6679,1540.9231,1586.7019
TCGA-A8-A081-01,25.4876,395.2146,442.1326,217.9454,1016.3849,260.5982,76.4629,2684.5254,2904.2913
TCGA-A8-A096-01,144.4096,226.4222,924.5559,162.3824,3648.2759,618.3908,33.2288,1202.5078,1638.2445
TCGA-A8-A094-01,14.9906,188.5946,941.9113,199.2505,1346.0337,572.767,168.02,2007.4953,1347.2829
TCGA-A8-A090-01,675.5154,429.1029,996.3287,109.5736,740.2805,433.0227,123.1291,1650.7578,1865.763
TCGA-A8-A06N-01,9.408,295.9615,298.0725,167.967,5133.0886,217.0721,21.799,756.3102,2092.7031
TCGA-A8-A08H-01,124.7355,249.7784,2408.7315,135.8726,906.5598,677.581,83.3055,1446.0408,1368.972
TCGA-C8-A275-01,47.9553,374.922,1797.2933,254.7808,5665.1956,481.6122,136.5107,2887.3198,1954.9868
TCGA-PL-A8LX-01,0.4451,296.6151,994.7702,101.925,1284.9672,252.3645,45.3989,395.2376,1236.0076
TCGA-AN-A0AM-01,73.2224,279.6468,576.3649,131.8003,971.4171,345.54,221.7593,1506.638,1777.5608
TCGA-AN-A041-01,607.5697,303.8413,348.6056,189.575,4173.9708,327.6892,57.7689,866.5339,2658.3665
TCGA-PL-A8LY-01,91.954,537.2031,510.6732,101.8062,3900.9305,148.8779,78.2704,519.4308,928.8451
TCGA-AN-A0XP-01,1.9293,250.2219,102.5723,100.9646,6125.4019,616.7203,23.4727,739.8714,1725.7235
TCGA-AN-A0FV-01,0.7681,241.6899,246.5675,136.7259,2077.7724,133.6534,81.421,1655.3048,3441.1906
TCGA-AN-A0XN-01,2.9888,272.7771,1309.0909,142.9639,1415.193,382.5654,72.7273,1113.8232,1781.32
TCGA-AN-A03Y-01,16.0772,202.4259,695.9628,222.2222,2911.3969,132.1901,48.9461,2184.3516,1692.7474
TCGA-AN-A03X-01,3.8271,81.0652,283.8463,42.0985,2585.8715,186.892,14.6707,766.066,1234.8908
TCGA-AN-A0FX-01,15.949,744.3828,909.4099,146.7305,5704.6252,288.0383,755.3429,3013.7161,2675.9171
TCGA-AN-A0FZ-01,894.2005,155.295,94.0999,94.6031,9066.5493,330.8592,54.3465,1892.3135,2002.7676
TCGA-AN-A0AS-01,2.2528,81.64,621.3111,111.7369,16619.0583,220.7704,23.8793,997.522,1474.6565
TCGA-AN-A0XT-01,4.7455,175.4487,1033.6497,351.5962,7902.0708,323.9862,8.6281,593.6152,852.8904
TCGA-AN-A0XS-01,16.0197,243.8099,478.9562,155.9468,1007.6061,434.4933,22.2314,654.8459,1768.3781
TCGA-AN-A0XR-01,0.0,410.6325,79.3716,180.6532,4002.8938,608.9293,69.8636,2291.4427,1207.5238
TCGA-AN-A046-01,54.1462,292.8095,432.0333,178.7202,2743.6577,836.047,17.4176,949.2616,1522.5293
TCGA-AN-A0FY-01,67.4922,721.5131,194.3122,127.6364,2988.1617,330.6572,249.5578,1926.2485,1382.501
TCGA-AN-A0FW-01,29.32,301.2258,180.5989,89.2077,3906.4255,195.2589,53.3375,2767.3113,2596.3818
