,FLT3,FANCL,SYK,CEP76,ELF3,JAK2,CCNE1,TPX2,GSK3B
MB-0362,5.8205067360000005,6.522536825,7.397854487,5.774249802999999,9.674492807,5.951584565,6.376331254,7.2325290560000015,8.539565126
MB-0346,5.64347402,6.853549488,7.508242957,5.734557072,9.405849203999999,5.997477825,6.260003035,8.155834816,8.931858363
MB-0386,5.5793195560000015,6.632228108,8.616094447,5.45947008,10.03996272,5.712628868,6.005198212000001,7.72055709,8.487690302999999
MB-0574,5.847622833,6.646440794,7.762188016,5.69573817,8.490912369,6.016198205,6.0073224860000005,6.958543700000001,9.228537707000001
MB-0503,6.443368935,7.42279082,7.57776361,5.492820374,9.054236218,6.2669048510000005,5.820809044,6.307393955,8.216095453
MB-0641,5.891563267,6.8598919610000015,8.336368938,5.426524879,8.111014578999999,6.165836092999999,5.708902874,5.519372721,8.030865009
MB-0201,5.383621002000001,6.945892692,7.207646451,5.379395663,9.657510431,5.891498225,7.012084858,7.393722298999998,8.479016069
MB-0218,6.886240827000001,6.818355903,7.395034614,5.58689694,9.091702648,5.97942387,6.064071094,6.72801393,8.563847715
MB-0189,5.918963054,7.108870802999999,8.029883884,5.522054891,8.969484117,6.279055402000001,6.242453407999999,6.281230681,7.940467289
MB-0891,5.947177316,6.634465323,7.659013814,5.674861517,8.561858519,6.171870902,5.689783041,5.792524517,8.121806451
MB-0899,5.742317976,6.59580759,8.575756112999999,5.503750907000001,9.622447618999999,6.4644317560000015,6.320192822,6.592654538,8.479741843
MB-0605,5.1620393,7.011999932999999,8.615423883,5.3890044360000005,9.450086091000001,6.203934802000001,5.646198452,5.880248729,7.759912882999999
MB-0258,6.673332669,7.100766657,7.55353394,5.431751458,8.634904371000001,6.40212453,5.898478064,6.2882218660000015,7.737960652000001
MB-0506,5.492014695,7.258991221,8.115675673,5.4693182160000005,9.239290324,5.95890666,6.7538413020000005,7.089729208,8.982126884
MB-0223,6.530936337999999,6.9901197439999985,8.476218292,5.474055681,8.501217419,5.962137019,6.2911814910000015,6.138502287000001,8.30010631
MB-0445,5.412321662,6.845417293,8.274007175,5.605110343,9.355533436,6.699846684,6.1158478710000015,6.666853831,7.620169207000001
MB-0199,6.774346905,6.623725417,7.825706077,5.605082244,9.177670742,6.0954126089999985,5.63470883,5.666775167999999,8.279664643
MB-0517,5.712996724,7.0259987760000016,8.110648362000001,5.654873397999999,10.30251547,6.718635177,5.635107546,6.229599601,7.977945299
MB-0155,5.9769794460000005,6.424685429,8.656297686,5.608560305,9.186431156,6.555754011,5.5177281260000015,5.6074533760000005,7.815967887
MB-0428,5.763199574,6.9257827,8.574417647,5.593530572000001,9.534151842,6.342575765,6.231968296,6.538390799999998,8.102778286
MB-0117,5.658244248,6.860385979,8.0363982,5.65916456,9.009211138,6.036630271,6.59464013,6.834794052,8.396725319
MB-0497,5.75635294,7.158574099,7.395316561,5.615294111,8.635730705,6.245022281000002,5.9996403460000005,6.425699052000001,8.020683259
MB-0434,5.530356052,7.102244388,8.317048501,5.681068726,9.347970652999999,5.444355784,6.657048279,7.155626516,8.216083537000001
MB-0143,5.442025601,6.758682285,7.664829572,5.758517512999999,9.714190169,6.0220373139999985,5.7346378,6.766712299,8.445393286
MB-0513,5.508192809,7.065843206,7.182522162000001,5.66373558,8.322293541,5.764933784,5.69837081,6.591869697999999,8.231569758
MB-0541,5.373820433,7.255473301,8.746287445,5.405076767000001,8.620309031,6.5967036420000005,6.01408536,6.8989685,7.863539614
MB-0455,5.724068696000002,7.063484985,9.269799545,5.635102147,8.645379074,6.6177021960000015,6.556221132999999,7.300278924,8.142851936
MB-0384,5.540900445,6.998200398,8.147515963,5.419847955,9.86751573,6.386136013,5.932663307,6.887913587999999,8.303559383
MB-0637,5.4714539260000015,6.663318747000001,7.851744412,5.573095694,8.178167752,6.015422217,9.307798785,7.676524662,8.695589715
MB-0443,5.973627658,6.695028329,8.814985624,5.634459604,6.701700934,6.626020069,5.9494029510000015,6.314516013,8.09882144
MB-0584,5.483441083,6.530810548,8.895680064,5.814499606,8.585296358999999,7.173111886,6.367273794,7.33618328,8.188887053
MB-0322,5.095871496,6.982689954,7.41617219,5.654520314,10.17932765,5.913501744,5.719449982,5.916009473,8.403963596
MB-0501,5.4011520410000005,6.571998599,7.564886632,5.460900346,9.297090758,5.798157093,5.5149808920000005,5.7998732660000005,7.815967887
MB-0140,5.677565955,7.028410742999999,7.105211777999999,5.528455929,8.346985518,5.940593968,5.740952934,6.960446076,8.201412234
MB-0606,5.3723398210000015,6.489381211,7.981405819,5.621590824,8.254542824,5.955211427999999,6.170864322999999,6.37658697,8.113829183
MB-0666,5.463074421,6.944481766,7.369747857999999,5.667366672000001,10.74635973,5.888184721,6.83676625,6.362182366,9.039503114
MB-0598,5.596365398,7.031436734,8.507867487999999,5.675897424,9.938458395,6.276972643,6.576894405,7.406504504,8.750283988
MB-0138,6.802945762999999,6.934402672,8.200023992,5.738035983,8.808665602,6.705315954,6.109810877999999,6.364648538,8.06581536
MB-0579,5.383936243,7.193402852999999,7.502434255,5.382810884,8.923625446,6.046624214,6.022298499,6.719533491,8.115850474
MB-0471,6.339188924,7.00909643,7.333192474,5.728773932,8.262678621000001,6.118378862,6.930612267000001,6.660125669,7.958347742000001
MB-0619,6.610319003,7.317544281,8.143074846000001,5.643828544,9.59192985,6.380314959,6.4581338310000005,6.964677326,7.88933389
MB-0171,5.335509608,6.932787402000001,8.037412957,5.551435296,9.168195058,6.2312729970000005,6.13706694,5.880663951,7.776412711
MB-0310,5.664380349,6.636565312999999,8.624377486,5.327979211000001,10.54449752,6.4002061160000006,5.886361807,6.39301759,8.437945141
MB-0621,5.494612482999999,6.864340557,7.867606945,5.4407558489999985,9.200455013,6.084182693,5.625451932000001,5.5016926910000015,7.749985046
MB-0614,6.144817448,6.872595627000001,8.804827583,5.484621889,9.688628012999999,6.299097149,6.123056557999999,7.112497257,8.282955684
MB-0374,5.580360965,6.488360703,7.875907663,5.86109175,9.191463843,6.015367605,6.77764224,7.145244492000001,8.455724861
MB-0382,6.170763545,6.750192321,8.172969181000001,5.623561718,9.812639603,6.502638077,5.6860503310000015,5.752784186,7.961320471
MB-0066,5.474249901,7.337700162000001,7.848650219,5.547934414,9.554167828999999,6.791161804,6.3823991410000005,6.908762621,8.559958744
MB-0144,5.611270113,6.729984348,8.159020117,5.622801666,8.654787071,6.2873054810000015,5.937618454,6.4900736320000005,8.441251713
MB-0596,6.197150681,6.727854982999999,8.822325337,5.71754483,7.992344626,6.638713859,5.563275039,5.959527429,8.296934907999999
MB-0215,5.811158756,7.610144264,7.814306977999999,5.442048174,9.158576518,6.608564372000001,6.096741627,7.048785323,8.049525494
MB-0146,5.716421433,7.185279132000001,7.6124824910000015,5.774654111,9.636318383999999,6.109958719,6.478224664,6.873610942000001,8.560411688
MB-0229,5.810952662999999,7.1958437260000006,7.1082346560000005,5.653511076,8.285598498999999,6.375700054,6.014592676,6.685398367,8.549679687000001
MB-0505,6.110922746,6.897655253,7.839597352,5.6481494560000005,8.586423972999999,6.297673491,5.482563665,5.67279046,8.352390818
MB-0102,5.875101596,6.838489977999999,8.124358271,5.632191115,8.76325048,7.302208282,6.641552611,7.1006999870000005,8.654737792
MB-0569,5.743694426,7.224717994,8.924967492,5.689945184,8.427083847,6.387070352,6.205434757999999,7.442762396,8.717766642
MB-0272,6.421233299,6.757261027999999,8.129632886,5.822712676,8.440047356000001,5.915839386,6.151707149,6.910531635,8.525951641
MB-0585,6.007422774,6.44424121,8.094608917999999,5.5151439889999985,8.914222896,6.4659887939999985,6.11518152,6.529916579,8.642395753999999
MB-0306,5.703562359,7.094115847,7.823232362000001,5.606298513,9.441622196,6.395204692999999,6.071459106,6.689848729,8.361380837
MB-0463,5.598970352,6.745106079,8.403547704,5.864340605,7.599632173,5.994246406,5.671160544,6.089543783,8.521162754
MB-0198,5.604343687,6.997590796,7.068226656,5.6668911170000005,7.783570439,6.347404243,6.654590787,7.143910308,7.894693824
MB-0203,5.615795665,6.808026926,7.435184761,5.645959197000001,8.969850827,6.212611245,6.396146307,6.91544139,7.849387163999999
MB-0607,5.887787115,6.8197228370000005,8.237033757,5.710455792,8.231272241000001,6.446475307,6.748834844,6.908171967,8.970917138999999
MB-0631,5.78844592,7.2117330000000015,7.624582667,5.511126192000001,10.75961276,6.311309081,5.177872012,6.309418829,8.508574771000001
MB-0363,6.482724626,7.204725195,8.765391494,5.599067107000001,7.587768454,6.585091772999999,6.154384879,7.620392521,8.425705165
MB-0427,5.7516043460000015,6.830482539,8.962820504,5.713554321,9.344707046,6.713775041,5.984091427999999,6.68190042,8.208774891000001
MB-0519,6.262913003,6.79662215,8.943687019,5.519533342000001,8.240685219,7.262971062,5.8775733070000005,6.763213798,8.267296049
MB-0371,5.590774313,6.234037636,7.895188943,5.5598643260000005,7.861490607999999,6.2699683560000015,6.562149848,6.945340357999999,8.978135327999999
MB-0380,5.710027843,7.499557367,8.677309624,5.34776183,7.623381347,6.365854144,6.173770359,7.976626831,8.179154087
MB-0348,7.204408037,6.997966199,7.079085963,5.68501379,8.434466257999999,6.155211641,5.658496857,6.318524525,8.115774781
MB-0261,7.068848438,7.035781631,7.473181415,5.602384744,8.724730928,6.78671547,5.76233691,6.432500132,7.877116247999999
MB-0576,5.248697041000001,7.253408322,8.314613642000001,5.578529126,8.517723584,6.09927851,6.669658752,7.169811697999999,8.490120687000001
MB-0385,6.045830822,7.257722146,8.114792735,5.770246114,7.622715862000001,6.033450072000001,6.346817671,7.169858349,8.130048043
MB-0270,5.776782267000001,7.339768225,7.864647439,5.448519148,10.9790901,6.918150539,7.131468336,7.735413900000001,8.594805382999999
MB-0379,5.840953533,6.610994446,8.257052048,5.569041127999999,9.071132843,6.824326621,6.050686517999999,6.4677067710000005,8.352045819
MB-0527,5.462965035,7.271269252000001,8.266419455,5.508525755,7.54111355,6.428033794,5.396774653,5.627998605,7.995348892999999
MB-0624,5.764958782000001,7.2452079189999985,7.95108161,5.537583972999999,8.091961065,6.802938579,5.528991617999999,5.32430765,7.957365751
MB-0273,5.641032243,7.168175636,7.026956839,5.8221324339999985,7.822441358,5.8278318439999985,5.439855137,6.00816411,7.948425277999999
MB-0050,6.1472812910000005,7.202797469,7.451755352999999,5.4994794539999985,10.08922477,6.559222664,5.4617892989999985,5.70544844,7.67089842
MB-0460,6.041957257999999,7.068417893,9.006249093,5.497986569,7.289449912999999,7.183629882999999,5.9626776370000005,6.2613189810000005,7.995980667
MB-0654,5.753479399,6.955646746,7.414420872999999,5.530610445,9.289252792000001,6.367868374,5.410511812999999,6.331363053,7.90727616
MB-0454,5.462682205,7.221760972999999,7.635529881,5.904485357,7.612970184,5.7228501,5.410564332000001,6.052084736,7.911490585
MB-0392,5.853373251,6.975513509,8.046225244,5.595099098,8.199423897,6.351370116,5.974348598,6.92865458,8.26338804
MB-0336,5.76772227,6.708721613,7.897295445,5.584105999,8.779725047000001,5.793208347999999,5.968285417000001,6.579467563,8.614677429
MB-0467,5.675620987,7.174729439,8.099148645,5.551999594,9.468643087,6.4976454310000005,6.502968997999999,6.619393997,8.426970165
MB-0349,5.413807593,7.548131927999999,8.23512633,5.530119615,9.172594332000001,6.269851057,5.645113737999999,6.922765471,8.909962734
MB-0378,5.42528068,6.883114442,8.439100631,5.406809456,9.73496089,6.539964824,6.358891493,7.195851005,8.918364138
MB-0176,5.594429079,7.268599497,8.140722811,5.303434116,9.240344417000001,6.284657729,6.344857641,6.814882588,7.895039088
MB-0429,5.93587292,7.462854628,7.516054809,5.6007731110000005,9.431959998,5.919876642,6.140593249,7.317538532,7.756357033
MB-0397,6.807604626,6.852217684,7.577921546000002,5.580497342999999,8.561196333,6.2146839210000016,5.845473863,5.4313857589999985,8.578310962
MB-0571,5.495716966,7.067552706,8.617770551,5.649467252000001,9.418818694,6.388727993,6.089734468,6.943122408,7.637561542999999
MB-0426,6.711325583,7.25554442,7.773976887000001,5.504243194,8.39538141,6.640747682000001,6.011447842000001,6.519587147999999,7.970837989
MB-0135,5.801767935,7.051698148,7.429431224,5.862428222999999,7.764997685,6.2905816660000005,5.846106588,7.302464421,7.839185787999999
MB-0112,5.363818722,6.587398492999999,8.189653437999999,5.550143997999999,9.628450425,6.677256225,5.940484654,6.592654538,8.494058897
MB-0644,6.262538871,6.992373091,8.721630043,5.403288299,7.840566616,6.908455372000001,5.597103851,6.062921939,8.047291676
MB-0601,5.4005337870000005,6.7436828460000005,7.25329325,5.364330056,8.705150153,6.397024752999999,6.431017286,7.233652251,8.844460091
MB-0568,6.457012574,7.248149859,7.994857526,5.52960083,8.401123131,6.5681120470000005,6.27996478,6.571128269,8.095085965
MB-0328,5.856031937000001,7.4356066410000015,7.900287167,5.612456894,9.200032967,6.422282142999999,6.312292146,7.645810103,8.383379589
MB-0325,5.814597337,7.613314239,10.16724766,6.0644433860000015,7.865218835,6.488515362,8.070426644,8.53220644,8.494793465
MB-0358,5.6317384960000005,6.836800722,8.532564842000001,5.451777529,8.814142666,6.403345391,6.676707226,7.030623646,9.295583997
MB-0413,6.831412782,6.932331068,8.421121945,5.593360811,7.801414275,6.6538659110000005,6.42410991,6.774094755,8.516041757
MB-0636,6.550606872,7.49971331,8.282187292,5.742429426,8.633154371,6.807111767,6.411020195,6.695569946,8.578586912
MB-0145,6.0321424760000015,6.916189312,7.282971709,5.394489974,8.954946673,6.560074024,5.708552032999999,5.181048533999999,8.272186977
MB-0195,7.358413107,7.354698627999999,7.516828922999999,5.177704801,8.923799369,6.037676747999999,7.959818481,7.975909613,8.83328455
MB-0422,6.584122957000001,7.012480798,7.804483075,5.33547824,8.741610514,6.567445474,6.324255799,6.534755282999999,8.29006092
MB-0483,6.436985634,7.495635044,8.651817832999999,5.590424664,8.570550271,6.502909082,7.135589382999999,7.983528395,8.739074123
MB-0317,5.642758663,7.042217152,8.358576921000001,5.316424794,9.177546007,6.458143542999999,5.706615621,6.300049102000001,8.596368601
MB-0486,5.43652075,7.333099237000001,7.586695066,5.517015327999999,9.051649842,6.581476076,6.079895625,6.731809994,8.70019331
MB-0139,6.49524844,7.18306236,8.338698371,5.689436333,8.428473552,6.807376272999999,5.319745853,5.7342331070000006,8.033591429
MB-0257,6.860473617999999,7.21394876,7.965476336,5.499687121,9.319706315,6.24219524,6.227833067000001,6.799676408,8.598189535
MB-0345,5.756773896,7.155265837000001,7.799555617999999,5.50055086,8.766350632,6.702270842999999,5.518239694,5.863430745,8.386594974
MB-0375,5.623316016,7.254191924,8.437095951,5.6364407010000015,9.710215494,6.725868932000001,7.850876607999999,6.784511371000002,8.121350397999999
MB-0419,7.130133264,6.310692457999999,7.915383723,5.902499698,9.252659439,6.224702814,5.990783065,6.321232359,8.967575028999999
MB-0480,5.374057271,7.055595887000001,8.15142706,5.670228128,10.41838155,6.207589166,6.165662941,5.879202146,8.193996639
MB-0311,5.31953338,7.014096602,7.401014342000001,5.666224248,9.105887778,5.855625157,6.522253697000001,6.6610375610000006,8.695623392
MB-0324,5.549859839,7.240459862000001,7.387871678,5.514897715,9.45420618,6.5430866289999985,5.673290669,6.698265859,7.942238387000001
MB-0368,5.429878992999999,7.463923904,7.613018827,5.425700275,8.101741605,6.020067707999999,6.618441566,7.308088112,7.729351696
MB-0389,5.872744577000001,6.925509549,8.459973422000001,5.56622065,8.015003925,6.4714114139999985,6.001814164,7.147156642000001,8.339754592
MB-0248,5.616731372,7.339988493,8.037701997000001,5.501079202000001,10.13558208,5.749766478,5.690927188,6.070000182,7.898936912999999
MB-0035,5.597128992999999,7.256390941,7.392289879,5.5830190570000005,10.21161023,6.543074224,6.451219872999999,7.109795582,8.584157904
MB-0904,6.542421113,6.564705713,7.857502006,5.4135068560000015,9.020389547,6.191200868999998,6.1450693260000016,6.485055631,8.531815214
MB-0119,5.657814508,6.940501617000001,7.711183779,5.65307331,8.679945222999999,6.094137485,6.333129016,6.604934631,8.412442863999999
MB-0650,5.634492543,7.079848321,9.004800575,5.579181948,9.558157706,6.210617202999999,5.699022131,6.0844499160000005,8.142407712999999
MB-0204,5.767502792,6.984882785,8.297864171,5.397970097999999,8.91443069,6.344894694,5.926991939,5.784601903,8.242104074
MB-0184,6.144898995,6.809156019,7.503193121,5.654253692,6.734790903,6.240504017999999,5.635331627999999,6.182206698,8.199021116
MB-0600,5.504961231,7.000294857,8.043773099,5.888944812999999,9.047792861,6.3483923660000015,5.786740022,7.003495322999999,7.48866814
MB-0511,5.53183898,7.198736477000001,7.831444952000001,5.683716088,8.555608338999999,6.37677975,5.803909094,6.482399796,8.165191803999999
MB-0150,5.611639238,7.2905454989999985,8.67580137,5.447944205,9.586004902,7.804594092999999,6.972669538,7.518114485,8.361190012
MB-0895,6.060759036,6.6987326110000005,8.322963989,5.475749482,8.680143831,6.351328614,6.7800641389999985,8.140804126,8.926377814
MB-0366,5.588813503,6.784396986,8.113665033,5.264957384,9.589579676,6.197324637,6.194657153,6.877552719,8.275125411
MB-0173,5.41972083,7.1071662610000015,7.559177639,5.345412699,9.171754716,6.133031257000001,5.743920997000001,7.58961759,8.695686471
MB-0131,5.623396868,6.822652579,8.461640307,5.735055486,9.191930029,6.491670044,5.91893353,6.594506198,8.358402165
MB-0315,6.83215078,7.421735849,7.939685963,5.652930041,9.117435338,6.106933235,6.101447837,6.5670610510000005,7.812982292999999
MB-0361,5.406013971,6.7859967989999985,8.300609892,5.459703452,10.295738900000002,5.8168079389999985,7.8253494,8.109178722000001,9.128842994
MB-0545,6.237067775,7.0368929960000015,8.203644064,5.3819281389999984,8.510495388999999,6.191939857,5.951261152000001,7.423731574,8.475376218
MB-0370,5.519754017,7.437509937000001,7.363779291,6.131152595,9.573982678,6.443382088,5.88775101,6.856204877000001,8.223666862
MB-0642,6.935340787,7.126674894,6.8657368110000006,5.591894507,10.15237207,6.19554325,5.556899714,5.827241036,8.633282177
MB-0431,5.537673754,7.444775524,8.55514935,5.645176004,10.06878498,6.222631828,6.445209488,5.975280708,7.5302718460000015
MB-0181,5.5718179370000005,6.763678783,7.785609878,5.566323785,8.171166184,6.387025526,5.392159165,6.253109021,7.832039309
MB-0603,5.736590314,6.723788131,7.163621435,5.538394312,8.444427911,6.735284437000001,5.655384902000001,6.115835278,7.830939429
MB-0295,5.693342147,6.909865927,8.522630757,5.610645262999999,8.317258122,6.768145637999999,5.67248785,6.22899265,7.980377572999999
MB-0618,5.612744294,7.0914463560000005,7.031759087,5.476691734,8.914760279,6.0232199789999985,5.991218527999999,6.335214665,8.030713853
MB-0496,5.7640184739999984,7.258985067,7.054726962999999,5.597027464,9.663933282999999,6.585743907,5.737995314,6.04358196,8.190364541000001
MB-0411,5.697762107000001,7.130462222999999,7.101849064,5.608439277,9.27101887,6.334236411,5.973325599,6.187644852000001,7.583693827
MB-0285,5.610547325,6.67165858,7.988087871,5.537981335,6.72132692,6.530072324,5.650892635,5.640840665,7.995390887
MB-0360,5.5964506589999985,6.972397982,7.707815271,5.570274916,8.252475453999999,6.038898009,6.168529459,7.1449569460000015,8.18594298
MB-0359,7.09569431,6.693412316,8.205113938,5.49581447,9.265681013,6.646510884,6.34336872,6.545719385,8.199977723
MB-0344,5.6964192670000005,7.001042592999999,7.801611355,5.275466942,10.01833026,6.492215004,5.491031765,5.504389427,7.944891042999999
MB-0583,5.42788101,7.123989337,7.417256299,5.391251903,10.31778051,6.232645098,5.443109535,5.720745397000001,8.286237091
MB-0202,5.418057427000001,7.151693656,7.773448706,5.228830116,9.128421246,6.241351582,6.482542027999999,7.271031537000001,9.02614049
MB-0485,5.566766897999999,7.212659886,7.377281027,5.793773759,9.267361996,6.291748155,6.167631172,6.5493223910000005,8.47811268
MB-0609,5.691865776,6.760985742999999,7.569398623,5.836881152,9.468310436,6.0728781210000005,6.065306812,6.753787254,8.206908289
MB-0538,5.510869896,7.03097714,7.329204296,5.414836982000001,8.952144976,6.246182417999999,6.49249905,6.565243463,8.55836807
MB-0197,5.763346337000001,6.92196024,8.885953622999999,5.409035607000001,9.374205941,6.165347607,6.661981606,7.386098959,8.905778573
MB-0410,5.722570599,7.23821605,8.689446424,5.3739056210000005,8.677837712999999,6.3718705710000005,5.967853268,6.400497174,8.190061004
MB-0528,5.567036676,6.757566967000001,8.872502026,5.6987454139999985,10.00217282,6.472417233,5.258126435,5.756213402999999,8.254247908
MB-0165,5.818171587999999,6.435995949,8.189085935,5.734839772999999,9.873725115,6.1345182839999985,6.152267031,6.926699039,8.532536448
MB-0152,5.373605687,6.440270691,7.674830663,5.498710562,10.06034184,5.909311164,6.569689508,7.404822127,9.219106983
MB-0148,5.968961755,6.99541083,8.476561300000002,5.512917707000001,9.260826439,6.08524938,6.73056193,7.024024825,9.205027848
MB-0594,5.610343609,7.353602147999999,8.671965196,5.699566056,8.416819389,6.543028621,6.280283764,6.291373902,8.697219392000001
MB-0521,6.010510452999999,7.159277312,7.599987129,5.462758772000001,9.429597872999999,6.703846809,5.596396461,6.0469182739999985,8.074040742000001
MB-0532,5.57846875,6.969252746,8.00149311,5.698849987000001,8.222175344,6.212137649,6.613361091,7.6092073,8.209540559
MB-0536,5.76681642,7.549338277,8.227480195,5.4728430810000015,9.511689215,6.274736744,7.399906072,7.36861886,8.315586722
MB-0319,5.453099768,7.516150966,8.737206358,5.599993607999999,8.442236647,5.869947665,6.486876476,7.642083662999999,7.89769711
MB-0491,5.735849377999999,6.889644277,8.004008076,5.452787357999999,8.471298113,6.484247475,6.18877198,6.73896934,8.108570775
MB-0404,5.73635784,7.119599802000001,7.2697454110000015,5.485949249,9.885939407999999,5.72025071,6.462820938999998,7.204663977,8.122524563999999
MB-0243,6.006848252,6.870892457,7.039602969,5.684561489,8.75412151,6.002844316,5.942840527,6.77141188,8.263180396000001
MB-0580,6.069962552000001,7.151396127999999,8.533098784,5.517275739,7.881110854,5.988593093,6.192904687,6.9862237160000005,8.154087008
MB-0312,6.128748206,6.707385696,7.655898287999999,5.50099606,9.216593937999999,5.901901261,6.207248624,7.312899307999999,8.122784774
MB-0060,5.272462282,7.084855599,8.177275193,5.580866267999999,7.00803371,6.423688087,7.797035457000001,8.301758041,8.760980101
MB-0649,5.805356251,6.811163285,8.040711033,5.569982155,8.175761827999999,6.5302543,5.478835953,6.22303264,8.42044236
MB-0643,5.178778531,7.384446016,8.188024448,5.228929446,9.457740425,6.323894492000001,7.769331665,7.467104241,9.235138441
MB-0383,5.32948354,7.040467582000001,8.361398265,5.879981376,8.590491098,5.923200419,7.348668892,7.202795339,8.657314332999999
MB-0142,5.300001878,7.002165076,6.447959569,5.728024098,9.340221426,5.933574338,5.981421159,5.618668542999999,8.500759282999999
MB-0320,5.739972794,6.673246807999999,7.897613412999999,5.478037636,7.5829037160000015,6.335602448,5.271705895,5.655552384,7.582781777
MB-0207,6.220010956,6.65686005,7.150278207,5.225334278,7.889604522000001,6.062237894,6.281695042999999,6.191520232,8.298848301
MB-0167,5.639327852,6.761011246,7.6919069539999985,5.623851882,9.352433438,5.921454347,7.162658007,8.199689037,8.483628455
MB-0591,5.91254773,6.5518500710000005,8.516457024,5.838739607000001,8.709779187999999,5.780572174,6.461081057,6.5299185060000005,8.520200593
MB-0313,5.407519793,6.956064775,7.549946134,6.017104177,9.589170402,6.384300241,6.216338522999999,7.9854435010000016,8.719388265
MB-0599,5.571976229,7.378234174,6.735740728,5.481771032999999,6.643448226,5.871080127999999,5.844545462,5.821337852999999,8.691043241000001
MB-0286,5.65636424,6.877444639,8.171901966,5.590727711,8.821491357000001,6.297361037999999,5.662310777,5.644273686,7.940962634
MB-0575,5.874201949,6.615271674,7.808337263999999,5.390460479,8.551079566,6.327354879,6.340478605,6.662101904,8.669356821000001
MB-0589,5.413933667999999,6.819948448,7.224388157999999,5.8763452260000015,8.720932984,5.750360831,6.519482602,6.984619849,8.532160284
MB-0406,5.478300942000001,7.002633971,8.524867112999999,5.549141978,10.28964657,5.6782089189999985,6.405455343,7.239507135,8.333676475
MB-0452,5.46784566,6.845799296,7.66915424,5.6756150000000005,8.570973548,5.816075798,6.339200703,7.1866188110000015,8.652094377000001
MB-0524,6.038860409,6.404117288999998,7.604238962,5.876831367,9.03656392,6.204073865,5.7464905439999985,6.092510146,8.482478547000001
MB-0880,5.48079776,6.744205076,8.635533449,5.501439128,8.823719972000001,5.883720227,5.610996138,5.811112493,8.494295015
MB-0573,5.414168042000001,6.971390906,9.478070994,5.7084638420000005,7.500425518999998,6.296113472,5.934631716,6.277060672999999,8.111170699
MB-0008,5.29284387,6.770073858,7.568175639,5.342549114,9.633498151,6.312227074,5.591998696,7.737828489,8.225779532
MB-0656,5.69103594,7.384310207,7.866211334,5.516943041,7.967904245,6.133645443,7.312621363,7.791772241,9.066019524
MB-0154,6.191313915,6.990794857999999,7.285703578,5.531899305,10.66571876,6.091837356,6.14070586,5.6231327360000005,7.771284045
MB-0597,5.775129377000001,7.14583368,7.868524112999999,5.535089889,9.71425619,6.347404243,5.314396883,6.058177368,7.704891447
MB-0550,5.337231485,6.675757322999999,7.751156312000001,5.530507331,9.230758155,6.382668102999999,6.20377616,7.504952132,8.771299315
MB-0616,5.653897017,6.755363821,7.817336452999999,5.509917712999999,7.482183629,5.856961943,7.961445274,7.1516099,8.357899716
MB-0412,5.872582392999999,7.028675024,8.470476662000001,5.744033965,8.279768565,5.976893428,7.150931614,8.505867817999999,8.194697588
MB-0122,5.686826066,6.960261581,7.176785511,5.678669085,10.14100885,5.916970172999999,5.565513489,5.777025508,8.540981954
MB-0425,6.158297142,7.072909612999999,7.458709987000001,5.549153034,9.17474023,5.959545313,6.048064636,6.454022116,8.644806003
MB-0314,5.172381721,6.935891095,6.988910455,5.612493497000001,9.864929907999999,5.708239882999999,6.077019109,7.1595271610000015,9.762435329
MB-0356,5.32483409,6.583374602999999,7.488741445,5.4163921770000005,9.533980462999999,5.952709408,6.004488863,6.424088604,8.265191863
