,FLT3,FANCL,SYK,CEP76,ELF3,JAK2,CCNE1,TPX2,GSK3B
MB-0316,5.622405159,6.793866923,8.662664094,5.440718016,10.24427105,6.518915355,9.59296067,8.001308233,9.068793832
MB-0658,5.523288022999999,6.8366213920000005,8.499793221000001,5.610107662000001,8.085708078,6.168093664,7.769599189,7.522199061,8.256037735
MB-0420,5.467531522000001,7.655421694,8.642398177999999,5.339833395,9.546694925,6.110236641,7.173925464,7.680079681,8.423460317
MB-0906,5.853078217999999,6.497814176,9.320993101000001,5.304841906,8.292380758,6.525996683,6.7680246870000005,7.025268646000002,8.976738757
MB-0249,5.464978127999999,6.764461676,7.783625294,5.34072991,9.761504936,6.009418732,7.476045541,6.816730308,9.326447814
MB-0660,5.499014601,6.198748577000001,7.820686447000001,5.635660929,10.11586054,5.804419012,7.237005343,7.324280546000002,10.15190795
MB-0653,5.35861922,7.781704459,8.265283618,5.477539904,9.232175958,6.193913412000001,8.104508903,7.846955031,9.021871751
MB-0540,7.104938722000001,6.8306852839999985,9.845409948,5.485096931,5.670276638,7.349877322,5.55786185,5.58231412,7.625776237999999
MB-0157,5.666622892,6.638986068,8.774610867,5.656020815,8.123064728,6.576576593,7.974450892,8.281075926,8.802717457
MB-0292,5.241380964,6.86707465,7.962375727,5.5509212670000005,9.481270514,5.908204074,7.161189702000001,7.671848487999999,8.678542978
MB-0401,5.672432388,7.321924877000001,8.9594791,5.514115274,7.241546592000001,6.038430074,7.084029143,7.197450396,7.593981319
MB-0453,5.134289014,6.742052972000001,7.470595376,5.543371482,8.320562022999999,6.077410633,6.322086207000001,7.542935442999999,8.941639131
MB-0372,6.4711030360000015,7.507730857,8.281312574,5.697866407,7.789478927,6.578460592999999,8.051104797999999,7.923992419,7.525050855
MB-0164,5.445694453,6.64318516,8.902423605,5.652172056,9.993775115,6.349050675,8.724107678,7.678204871,9.21233435
MB-0516,5.614750181000002,8.035792342,7.759352283999998,5.674828741000002,9.513563611,6.068860536,7.892224351,8.134108708,9.496696772
MB-0494,5.929530474,6.516921512000001,9.300473147,5.514318527,8.563243065,6.924814686,10.70137863,7.641860595,8.945776521
MB-0221,5.644858055,7.24989469,7.829525971,5.447755777999999,9.306494911,5.819872973,7.201250844,7.53981942,9.336609464
MB-0659,5.905421279,7.48873772,7.298901977000001,5.7182054189999985,9.482463988,5.985532649,6.081379719,5.739054792999999,7.666581486
MB-0352,5.5418118660000015,6.9487073000000015,8.748051787,5.477099807,9.691699327,7.175082832,6.349412831,6.189096544,8.638169515
MB-0400,5.67285669,6.762600711,8.563686209,5.55746114,8.756703107,6.169657315,7.317332162,8.696669317000001,8.733567986
MB-0500,5.530611734,7.357145993,8.357984839,5.523879265,10.48640766,6.104685872,8.314739326,8.752170503,9.186714868
MB-0206,6.059664524,7.070676439,8.375636462000001,5.6864512839999986,8.742056194,6.9534610689999985,11.43566336,8.300984084,8.119003492000001
MB-0581,5.525813696,7.065428312000001,8.01042679,5.834413382,9.760367851,6.191837062,6.705330419,7.674880963,9.018995347
MB-0613,5.52153636,6.654214443,9.199650079,5.467422369,7.584511097,5.9998206210000005,6.630264971,7.082396726,8.805184062999999
MB-0214,5.5943869170000005,7.221954412,8.442314307,5.503522342,10.27855791,6.565866851,8.186227236,8.46122461,9.219106983
MB-0664,5.414165942,7.044570145,8.415998173,5.897823898,10.29897958,6.445943206,8.47028398,8.332507861,9.00654013
MB-0446,5.435586533,6.701017575,9.018567446,5.541084989,9.449518336,7.073633185,7.3043241110000015,6.861224552,8.498246369
MB-0424,5.6123279870000005,6.763437874,8.056336509,5.457446235,6.953817022999999,6.817297415,6.3962233689999985,5.640333213,7.794324017999999
MB-0115,5.55144632,8.079724716,8.167388216,5.643724579,8.640893758999999,6.751234674,8.066741829,8.169660322999999,8.113849416
MB-0354,5.7072595470000005,6.899874651,9.015113273999999,5.5312341589999985,8.646130638999999,6.96710088,6.9348891020000005,6.895690589,8.421341717999999
MB-0608,5.698470007999999,7.402314911,8.96469689,5.7722959839999985,7.243362132000001,6.119885689,7.306431932000001,7.73615197,8.37311823
MB-0893,5.760415512000001,6.414266107,10.01151537,5.584585724,5.988277825,6.685918568,6.572267774,6.1964761689999985,8.859356433
MB-0294,5.517088112000001,6.255387803,8.152279021,5.635525086,9.681700574,6.275177897000001,6.056195111,5.720606472,8.713170329
MB-0481,5.488822148,7.162492094,7.635113134,5.971186207000001,9.715398862999999,5.710273611,7.061455617000001,8.118430315,8.533116778
MB-0220,6.17969784,6.610242676,9.376925281,5.464620437000001,8.209496401,6.684205059,6.097833606,6.30624075,8.015389457000001
MB-0238,5.758496135,7.054231202,8.006276557,5.3750638010000005,9.154045184,6.72373799,8.002277122999999,7.417432729,8.415575664
MB-0525,5.39556832,6.678544692000001,7.712501327999999,5.535089889,9.414202994,5.7542514439999985,7.297818567999999,8.174498029,9.344252327000001
MB-0869,5.463426889,7.582704967000001,8.202099954,5.504005456,9.920052469,5.969079393,8.943859865,8.526085022,9.064433518
MB-4622,5.37713832,6.814899528,9.082092999,5.5089268570000005,8.297441175,6.255452407000001,7.438874165,7.190004083,9.916725773
MB-4640,6.178685794,6.56912763,7.4077671610000015,5.429663232999999,9.629245088,6.131158472999999,7.287568597000001,7.087002346,8.952886609
MB-4667,5.494368856,6.77821801,8.871189115,5.510010946,8.323034182,6.71841278,6.931616638,6.328212136,8.905734956
MB-4717,5.484762397000001,7.710947391,8.077631022,5.792379419,10.48575204,6.293485689,8.15558425,8.538430457999999,8.283633819
MB-4757,5.532658211,7.008697616,8.174734549,5.323659143,9.329532668999999,6.32621056,8.58683789,8.728802855,9.150572243
MB-4715,5.998881615,7.054166397,7.839063518,5.572779777,9.25777109,6.253690812,8.649629381,7.912899632,8.714150582
MB-5281,5.779296592000001,6.392398777,7.262374923999999,5.4256584110000015,8.40813634,5.7340089339999984,6.771661567000001,6.449645826,8.642831438
MB-4982,5.364988299,6.278537482000001,8.009887736,5.398275142,8.827184566,5.732174793,7.13750075,7.202372268,9.89546579
MB-5323,5.7469440889999985,6.843586772999999,9.838844936000001,5.615548723,7.252823975,6.9478973260000005,6.907519442000001,7.456378125,8.163477179
MB-4911,5.278669826000001,6.870182453,8.703972991,5.273208014,10.5649468,6.28687963,8.601217205,8.383137146000001,8.536577761
MB-4888,5.340961613,6.9509327,8.985309102,5.493612281,8.609478677,6.406006739,7.11441604,7.889074477999999,8.653942173999999
MB-4945,5.406760029,6.654771552000001,7.711678682,5.4541473489999985,9.012061776,5.904758431,10.22122927,8.042218429,9.305326026
MB-5052,5.9563472310000005,6.683598984,9.521604852000001,5.429459944,8.060523015,6.88582295,6.856901947999999,7.148636017,8.442624279
MB-5041,6.2274412360000015,6.700309654,9.460916418,5.706337106,7.079707374,7.170687422,6.55600868,7.205728993999998,8.452426639
MB-5072,6.0008836689999985,6.351092597,7.697960597000001,5.53884591,8.227071848,6.138834608,6.5943378510000015,6.5124879270000005,8.748345958
MB-5115,5.66001039,7.661594597000001,8.46132577,5.507035302999999,9.405748159,5.956679253,7.9909487110000015,9.446150475,8.723189872999999
MB-4733,6.025330295,6.43131098,9.204911633,5.577058419,8.812717731000001,6.2276106160000015,6.088007942000001,7.571597324,8.886000715
MB-4758,5.527568519,7.811922261,6.650568643,5.434532301,9.05331742,5.979839752,6.855076644,7.609120483,7.805803542
MB-4732,5.73349104,7.428924516,8.268486377,5.80340376,8.638411883,7.492727493999999,7.432422815,8.243280865,8.116998852
MB-5236,5.82827489,7.055803588,8.875775792999999,5.43904504,9.305181582000001,6.61277049,7.630579912999999,8.307869444,8.456514185
MB-4993,5.78806471,6.5338349660000015,7.765817963,5.665205348,9.14731146,5.988528649,6.783336586,7.039976782999999,9.124818556000001
MB-5222,5.731015167000001,6.778744637000001,9.333769076,5.45291272,8.16908241,7.010004569,8.803582057,7.693246808,8.738832017
MB-5232,5.6052314060000015,7.57150055,8.708257885,5.521951715,10.32832043,6.309029134,6.658129071,6.681368155,8.393433966
MB-5126,5.861978979,8.023330784,8.691887904,5.637860162000001,9.878650952000001,6.328804373,8.525821982,8.560971788,8.476817597
MB-5145,5.302729952,7.375808424,8.19735896,5.600555729,9.019919942000001,6.085984047999999,6.348717712999999,6.337469921,8.000395264
MB-4938,5.399570972999999,7.057465548,7.432452844,5.5611123660000015,9.841642198999999,6.484863624,7.544578254,7.555924728,8.761791667
MB-5070,5.468516987999999,6.936685596,8.631010616000001,4.9901973360000005,9.564456393,6.508710474,7.001148209,8.135617366,8.278719192
MB-4992,5.51169522,6.896234801,7.547355832999999,5.520517974,9.886781059,6.514201768,6.66766782,6.4525489889999985,8.908562697
MB-5392,5.82015673,6.654757768,8.411249841,5.662118332,7.691331586,6.783061587000001,6.702242921,6.404635114,7.840458937
MB-5138,5.598151333,7.044347396,8.988460986,5.522396576,10.90202031,6.5268921010000005,8.918652087,8.036960976,8.625620911
MB-5065,5.845978422000001,7.33932488,8.925656747,5.550925081,9.335685972,7.212566177,6.877405552000001,7.5939559239999985,8.123809472000001
MB-5058,5.945947258,6.469180729,8.039178448,5.767431022999999,9.282240939,6.239819769,6.688508502,6.487807953,8.813861421
MB-5258,5.543343892,7.124983816,8.371050728,5.913758044,10.18016305,6.266961123,6.951600052000001,8.1768353,9.8346312
MB-5421,5.769792046,7.67249364,7.4148027339999985,5.599945989,8.099699521,6.2505988289999985,8.121333436,7.864779276,7.603067452999999
MB-5348,5.826560617,7.1422840989999985,8.773881237000001,5.468958364,8.725135741,6.817676496,7.294346533,8.01794305,8.15285585
MB-5299,5.504155475,7.694742983999999,8.017990102,5.658541187000001,8.654451241,6.463374267000001,8.171940341,8.543159278,9.143631897
MB-5408,5.582337741,6.6445116560000015,9.208568999,5.785443702999999,7.542064849,6.818119984,6.1469543139999985,6.569271737,8.362081178
MB-5100,5.740030214,6.981554882,8.782115536000001,5.801644423,8.026286928,7.0437639989999985,8.9134356,8.986488777,8.829091909
MB-5446,5.474249521,7.01425393,7.376720262999999,5.623868537000001,8.506666183,6.3144880610000005,7.1901324560000015,6.6505453260000005,8.751105804
MB-5427,5.436312674,6.8663360839999985,6.337698904,5.452426971,8.554356422,5.905490404,8.865583572,7.90884228,8.403422574
MB-5390,5.572881906,6.953938352000001,8.059430967,5.4988925,10.48553941,6.368199522,10.32227318,9.227346017,8.868499982000001
MB-5209,5.6677917189999985,6.22646955,8.74611628,5.342004963,8.669670294,6.67891486,9.499461162000001,8.232728303,8.688852895
MB-5213,5.441610441,6.765593214,8.498113962,5.518406752000001,10.1657791,6.3361199,7.98792761,7.78208182,8.81184219
MB-5223,6.096485865,6.99019337,8.889565001,5.572054605,7.824619875,6.558930294,6.39544325,6.843286551,7.905494527
MB-5616,5.670780177999999,7.489101037,8.568859649,5.709091703,8.968822735,6.978073519,7.385040513,7.296820402000001,8.540785566
MB-5602,5.6666935989999985,6.774624501,9.247327298,5.486973562,9.876787141,6.580152345,6.65229866,7.160411129,8.437490283999999
MB-5634,5.545569515,6.599338835,9.13134498,5.592516838,8.245662496,6.554088823,7.562927612,8.189585456,8.494796013
MB-5651,5.632280297,6.65607601,8.590410103,5.4980467960000015,9.016650873,6.489185266000002,6.979225877999999,6.830883975,9.547337561
MB-5548,5.60809887,7.120461193,8.103397809,5.782045459,8.40516944,6.578320262,6.527867712999999,7.709505823,8.030830082
MB-5526,5.712033646,8.34977394,8.260020217000001,5.516615653,9.019879368,6.348413719,8.04158517,8.335922177,9.022704197000001
MB-5531,5.804761115,8.052677134,8.962694194,5.481492562000001,8.935996629,6.331861118,7.630537032999999,6.812622067,8.931881849
MB-5551,5.499456737,7.772659977000001,8.150139481,5.665986729,8.487306075,6.135620041,8.392690766,7.773815882,8.863500157999999
MB-5560,5.650075048,7.677687291,8.507642981,5.595927958,9.382824805,6.268905517,8.886998924,8.162173746,7.9222923289999985
MB-5529,5.535151037,7.339485403999999,8.395327397,5.427082021,9.776680028,6.418481977999999,10.58726222,8.582481291,8.066184857
MB-4408,5.24895189,6.668989132999999,8.327379852,5.656321397,9.403266148,6.373361107000001,8.847366708,7.488345125,9.37353426
MB-4146,6.104800861,6.965972962,9.266413016,5.367989667,9.566303113,6.743086415,9.263318574,7.070126186,9.506680768999999
MB-2963,5.507114183,6.579203292000001,8.474261559,5.379259032,7.416941401,6.30636195,6.141273842,6.475055565,7.818068507
MB-2957,5.413760409,7.434452332,8.301167637,5.449128438,9.438824947,6.14143598,7.715400927999999,6.877174833,8.392287942000001
